Title,Authors,Affiliations,Abstract,Keywords,PDF Link,Year,Match Score,Text_clean
Variational auto-encoders with Student's t-prior,"Najmeh Abiri, Mattias Ohlsson","1 - Department of Astronomy and Theoretical Physics Lund University Sölvegatan 14A, SE-223 62 Lund Sweden
3 - Halmstad University -Center for Applied Intelligent Systems Research Kristian IV:s väg 3 SE-301 18 Halmstad Sweden","We propose a new structure for the variational auto-encoders (VAEs) prior, with the weakly informative multivariate Student's t-distribution. In the proposed model all distribution parameters are trained, thereby allowing for a more robust approximation of the underlying data distribution. We used Fashion-MNIST data in two experiments to compare the proposed VAEs with the standard Gaussian priors. Both experiments showed a better reconstruction of the images with VAEs using Student's t-prior distribution.",Domain adaptation and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-42.pdf,2019,97.91666666666666,"Variational auto-encoders with Student's t-prior We propose a new structure for the variational auto-encoders (VAEs) prior, with the weakly informative multivariate Student's t-distribution. In the proposed model all distribution parameters are trained, thereby allowing for a more robust approximation of the underlying data distribution. We used Fashion-MNIST data in two experiments to compare the proposed VAEs with the standard Gaussian priors. Both experiments showed a better reconstruction of the images with VAEs using Student's t-prior distribution."
User-steering Interpretable Visualization with Probabilistic Principal Components Analysis,"Viet Vu, Benoît Frénay",1 - Faculty of Computer Science NADI Institute -PReCISE Research Center Université de Namur Rue Grandgagnage 21 5000 Namur Belgium,The lack of interpretability generally in machine learning and specifically in visualization is often encountered. Integration of user's feedbacks into visualization process is a potential solution. This paper shows that the user's knowledge expressed by the positions of fixed points in the visualization can be transferred directly into a probabilistic principal components analysis (PPCA) model to help user steer the visualization. Our proposed interactive PPCA model is evaluated with different datasets to prove the feasibility of creating explainable axes for the visualization.,Domain adaptation and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-44.pdf,2019,77.77777777777779,User-steering Interpretable Visualization with Probabilistic Principal Components Analysis The lack of interpretability generally in machine learning and specifically in visualization is often encountered. Integration of user's feedbacks into visualization process is a potential solution. This paper shows that the user's knowledge expressed by the positions of fixed points in the visualization can be transferred directly into a probabilistic principal components analysis (PPCA) model to help user steer the visualization. Our proposed interactive PPCA model is evaluated with different datasets to prove the feasibility of creating explainable axes for the visualization.
LEAP nets for power grid perturbations,"B Donnot, B Donon, I Guyon • ‡, Z Liu, A Marot, P Panciatici, M Schoenauer, • Chalearn, Usa Upsud, / Inria, et al.",Unknown,"We propose a novel neural network embedding approach to model power transmission grids, in which high voltage lines are disconnected and re-connected with one-another from time to time, either accidentally or willfully. We call our architecture LEAP net, for Latent Encoding of Atypical Perturbation. Our method implements a form of transfer learning, permitting to train on a few source domains, then generalize to new target domains, without learning on any example of that domain. We evaluate the viability of this technique to rapidly assess curative actions that human operators take in emergency situations, using real historical data, from the French high voltage power grid.",Image processing and transfer learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-46.pdf,2019,100.0,"LEAP nets for power grid perturbations We propose a novel neural network embedding approach to model power transmission grids, in which high voltage lines are disconnected and re-connected with one-another from time to time, either accidentally or willfully. We call our architecture LEAP net, for Latent Encoding of Atypical Perturbation. Our method implements a form of transfer learning, permitting to train on a few source domains, then generalize to new target domains, without learning on any example of that domain. We evaluate the viability of this technique to rapidly assess curative actions that human operators take in emergency situations, using real historical data, from the French high voltage power grid."
Deep Convolutional Neural Network for Survival Estimation of Amyotrophic Lateral Sclerosis patients,"Enrico Grisan, Alessandro Zandonà, Barbara Camillo","1 - Department of Information Engineering University of Padova Via Gradenigo 6/b Padova Italy
3 - School of Imaging Sciences Biomedical Engineering -King's College London Lambeth Wing St. Thomas Hospital London UK","We propose a convolutional neural network (CNN) coupled with a fully connected top layer for survival estimation. We design an objective function to directly estimate the probability of survival at discrete time intervals, conditional to the patient not having incurred any adverse event at previous time points. We test our CNN and objective function on a large dataset of longitudinal data of patients with Amyotrophic Lateral Sclerosis (ALS). We compare our CNN and the objective function against other neural networks designed for survival analysis, and against the optimization of Cox-partial-likelihood or a simple logistic classifier. The use of our objective function outperforms both Cox-partial-likelihood and logistic classifier, independently of the network architecture, and our deep CNN provides the best results in terms of AU-ROC, accuracy and mean absolute error.",Deep learning and CNN,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-48.pdf,2019,62.62626262626263,"Deep Convolutional Neural Network for Survival Estimation of Amyotrophic Lateral Sclerosis patients We propose a convolutional neural network (CNN) coupled with a fully connected top layer for survival estimation. We design an objective function to directly estimate the probability of survival at discrete time intervals, conditional to the patient not having incurred any adverse event at previous time points. We test our CNN and objective function on a large dataset of longitudinal data of patients with Amyotrophic Lateral Sclerosis (ALS). We compare our CNN and the objective function against other neural networks designed for survival analysis, and against the optimization of Cox-partial-likelihood or a simple logistic classifier. The use of our objective function outperforms both Cox-partial-likelihood and logistic classifier, independently of the network architecture, and our deep CNN provides the best results in terms of AU-ROC, accuracy and mean absolute error."
Metric Learning with Submodular Functions,"Jiajun Pan, Hoel Le Capitaine",1 - UMR CNRS 6004 University of Nantes LS2N Nantes France,"Metric learning mainly focuses on learning distances (or similarities) that use single feature weights with Lp norms, or pair of features with Mahalanobis distances. In this paper, we consider higher order interactions in the feature space, with the help of submodular set-functions. We propose to define a metric for continuous features based on Lovasz extension of submodular functions, and then present a dedicated metric learning approach. This is naturally at the price of higher complexity so that we use k-additive fuzzy measures to decrease this complexity, by reducing the order of interactions that are taken into account. This approach finally gives a computationally feasible problem. Experiments on various datasets show the effectiveness of the approach.",Domain adaptation and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-49.pdf,2019,75.60975609756098,"Metric Learning with Submodular Functions Metric learning mainly focuses on learning distances (or similarities) that use single feature weights with Lp norms, or pair of features with Mahalanobis distances. In this paper, we consider higher order interactions in the feature space, with the help of submodular set-functions. We propose to define a metric for continuous features based on Lovasz extension of submodular functions, and then present a dedicated metric learning approach. This is naturally at the price of higher complexity so that we use k-additive fuzzy measures to decrease this complexity, by reducing the order of interactions that are taken into account. This approach finally gives a computationally feasible problem. Experiments on various datasets show the effectiveness of the approach."
Frequency Domain Transformer Networks for Video Prediction,"Hafez Farazi, Sven Behnke",1 - University of Bonn Computer Science Institute VI Autonomous Intelligent Systems Endenicher Allee 19a 53115 Bonn Germany,"The task of video prediction is forecasting the next frames given some previous frames. Despite much recent progress, this task is still challenging mainly due to high nonlinearity in the spatial domain. To address this issue, we propose a novel architecture, Frequency Domain Transformer Network (FDTN), which is an end-to-end learnable model that estimates and uses the transformations of the signal in the frequency domain. Experimental evaluations show that this approach can outperform some widely used video prediction methods like Video Ladder Network (VLN) and Predictive Gated Pyramids (PGP).",Time series and signal processing,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-50.pdf,2019,100.0,"Frequency Domain Transformer Networks for Video Prediction The task of video prediction is forecasting the next frames given some previous frames. Despite much recent progress, this task is still challenging mainly due to high nonlinearity in the spatial domain. To address this issue, we propose a novel architecture, Frequency Domain Transformer Network (FDTN), which is an end-to-end learnable model that estimates and uses the transformations of the signal in the frequency domain. Experimental evaluations show that this approach can outperform some widely used video prediction methods like Video Ladder Network (VLN) and Predictive Gated Pyramids (PGP)."
Metric Learning with Relational Data,"Jiajun Pan, Hoel Le Capitaine",1 - UMR CNRS 6004 University of Nantes LS2N Nantes France,"The vast majority of metric learning approaches are meant to be applied on data described by feature vectors, with some notable exceptions such as times series, trees or graphs. The objective of this paper is to propose metric learning algorithms that consider multi-relational data. More specifically, we present a metric learning approach taking into account the features of the observations, as well as the relationships between observations. Experiments and comparisons of the two settings for a collective classification task on real-world datasets show that our method i) presents a better performance than other approaches in both settings, and ii) scales well with the volume of the data.",Domain adaptation and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-51.pdf,2019,75.0,"Metric Learning with Relational Data The vast majority of metric learning approaches are meant to be applied on data described by feature vectors, with some notable exceptions such as times series, trees or graphs. The objective of this paper is to propose metric learning algorithms that consider multi-relational data. More specifically, we present a metric learning approach taking into account the features of the observations, as well as the relationships between observations. Experiments and comparisons of the two settings for a collective classification task on real-world datasets show that our method i) presents a better performance than other approaches in both settings, and ii) scales well with the volume of the data."
An evolutionary approach for optimizing weightless neural networks,"Maurizio Giordano, Massimo De Gregorio","1 - Istituto di Calcolo e Reti ad Alte Prestazioni (ICAR -CNR) Via P. Castellino 111 -80131 Naples ITALY
2 - Istituto di Scienze Applicate e Sistemi Intelligenti ""E. Caianiello"" (ISASI -CNR) Via Campi Flegrei 34 -80078 Pozzuoli (NA) ITALY",WiSARD is a weightless neural network model using RAMs to store the function computed by each neuron rather than storing it in connection weights between neurons. Non-linearity in WiSARD is implemented by a mapping that splits the binary input into tuples of bits and associate these tuples to neurons. In this work we apply the evolutionary µ + λ algorithm [1] to make evolve an initial population of mappings toward the generation of new mappings granting significant improvements in classification accuracy in the conducted experiments.,60 Years of Weightless Neural Systems,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-54.pdf,2019,100.0,An evolutionary approach for optimizing weightless neural networks WiSARD is a weightless neural network model using RAMs to store the function computed by each neuron rather than storing it in connection weights between neurons. Non-linearity in WiSARD is implemented by a mapping that splits the binary input into tuples of bits and associate these tuples to neurons. In this work we apply the evolutionary µ + λ algorithm [1] to make evolve an initial population of mappings toward the generation of new mappings granting significant improvements in classification accuracy in the conducted experiments.
Dimensionality Reduction in a Hydraulic Valve Positioning Application,Travis Wiens,1 - University of Saskatchewan -Dept of Mechanical Engineering Saskatoon Sk Canada,"This paper presents an application of neural network signal processing to estimate the position of a hydraulic valve spool, based on acoustic excitement of the spool's end chamber. The spool's end chamber acts somewhat like a Helmholtz resonator whose frequency response changes based on its volume (and therefore spool position). However, nonideal characteristics of the system including wave propagation effects and distributed parameters mean that estimating the volume is more complicated than simply evaluating the resonant frequency. In this case the frequency response has high dimensionality with high redundancy and noise. We present the use of linear and nonlinear principal component analysis to preprocess the frequency response data prior to neural network regression.",Domain adaptation and learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-55.pdf,2019,69.56521739130434,"Dimensionality Reduction in a Hydraulic Valve Positioning Application This paper presents an application of neural network signal processing to estimate the position of a hydraulic valve spool, based on acoustic excitement of the spool's end chamber. The spool's end chamber acts somewhat like a Helmholtz resonator whose frequency response changes based on its volume (and therefore spool position). However, nonideal characteristics of the system including wave propagation effects and distributed parameters mean that estimating the volume is more complicated than simply evaluating the resonant frequency. In this case the frequency response has high dimensionality with high redundancy and noise. We present the use of linear and nonlinear principal component analysis to preprocess the frequency response data prior to neural network regression."
A WNN model based on Probabilistic Quantum Memories,"Priscila Dos Santos, Rodrigo Sousa, Adenilton Da Silva","1 - S/N. Campus Dois Irmãos Universidade Federal Rural de Pernambuco -Departamento de Computação Rua Dom Manoel de Medeiros 52171-900 Recife, Pernambuco Brazil","In this work, we evaluate a Weightless Neural Network model based on a Probabilistic Quantum Memory. In order to evaluate the classification capabilities of this quantum model, we conducted classical experiments using an equivalent classical description of the Probabilist Quantum Memory algorithm. We present the first evaluation of a quantum weightless neural networks on public benchmark datasets.",60 Years of Weightless Neural Systems,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-56.pdf,2019,100.0,"A WNN model based on Probabilistic Quantum Memories In this work, we evaluate a Weightless Neural Network model based on a Probabilistic Quantum Memory. In order to evaluate the classification capabilities of this quantum model, we conducted classical experiments using an equivalent classical description of the Probabilist Quantum Memory algorithm. We present the first evaluation of a quantum weightless neural networks on public benchmark datasets."
Experimental study of the neuron-level mechanisms emerging from backpropagation,"Simon Carbonnelle, Christophe De Vleeschouwer",1 - Université catholique de Louvain -ICTEAM Louvain-La-Neuve Belgium,"The backpropagation algorithm [1] is the most successful learning algorithm for training deep artificial neural networks. Its inner workings are in stark contrast with other learning rules, as it is based on a global, black box optimization procedure rather than the repetition of a local, neuron-level procedure (e.g. like hebbian learning [2]). In this paper, we present preliminary evidence suggesting that local, neuron-level mechanisms are in fact emerging during backpropagation-based training of neural networks and describe what could be key components of it.",Learning methods and optimization,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-57.pdf,2019,100.0,"Experimental study of the neuron-level mechanisms emerging from backpropagation The backpropagation algorithm [1] is the most successful learning algorithm for training deep artificial neural networks. Its inner workings are in stark contrast with other learning rules, as it is based on a global, black box optimization procedure rather than the repetition of a local, neuron-level procedure (e.g. like hebbian learning [2]). In this paper, we present preliminary evidence suggesting that local, neuron-level mechanisms are in fact emerging during backpropagation-based training of neural networks and describe what could be key components of it."
TrIK-SVM : an alternative decomposition for kernel methods in Kreȋn spaces,Gaëlle Loosli,"1 - 1-PobRun Brioude France
2 - UMR 6158 UCA -LIMOS CNRS Clermont-Ferrand France","The proposed work aims at proposing a alternative kernel decomposition in the context of kernel machines with indefinite kernels. The original paper of KSVM (SVM in Kreȋn spaces) uses the eigendecomposition, our proposition avoids this decompostion. We explain how it can help in designing an algorithm that won't require to compute the full kernel matrix. Finally we illustrate the good behavior of the proposed method compared to KSVM.",Classification and Bayesian learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-58.pdf,2019,91.82389937106919,"TrIK-SVM : an alternative decomposition for kernel methods in Kreȋn spaces The proposed work aims at proposing a alternative kernel decomposition in the context of kernel machines with indefinite kernels. The original paper of KSVM (SVM in Kreȋn spaces) uses the eigendecomposition, our proposition avoids this decompostion. We explain how it can help in designing an algorithm that won't require to compute the full kernel matrix. Finally we illustrate the good behavior of the proposed method compared to KSVM."
Beta Distribution Drift Detection for Adaptive Classifiers,"Lukas Fleckenstein, Sebastian Kauschke, Johannes Fürnkranz",1 - TU Darmstadt -Knowledge Engineering Group Hochschulstrasse 10 64289 Darmstadt Germany,"With today's abundant streams of data, the only constant we can rely on is change. For stream classification algorithms, it is necessary to adapt to concept drift. This can be achieved by monitoring the model error, and triggering counter measures as changes occur. In this paper, we propose a drift detection mechanism for batch-data that fits a beta distribution to the model error, and treats abnormal behavior as drift. It works with any given model, leverages prior knowledge about this model, and allows to set application-specific confidence thresholds. Experiments confirm that it performs well, in particular when drift occurs abruptly.","Streaming data analysis, concept drift and analysis of dynamic data sets",https://www.esann.org/sites/default/files/proceedings/legacy/es2019-59.pdf,2019,100.0,"Beta Distribution Drift Detection for Adaptive Classifiers With today's abundant streams of data, the only constant we can rely on is change. For stream classification algorithms, it is necessary to adapt to concept drift. This can be achieved by monitoring the model error, and triggering counter measures as changes occur. In this paper, we propose a drift detection mechanism for batch-data that fits a beta distribution to the model error, and treats abnormal behavior as drift. It works with any given model, leverages prior knowledge about this model, and allows to set application-specific confidence thresholds. Experiments confirm that it performs well, in particular when drift occurs abruptly."
Societal Issues in Machine Learning: When Learning from Data is Not Enough,"Davide Bacciu, Battista Biggio, Paulo Lisboa, José Martín, Luca Oneto, Alfredo Vellido","1 - Department of Computer Science University of Pisa Italy
2 - University of Cagliari -Italy and Pluribus One -Italy
3 - Department of Applied Mathematics -Liverpool John Moores University U.K
4 - Department of Electronic Engineering Universitat de València Spain
6 - Intelligent Data Science and Artificial Intelligence Research Center (IDEAI) Universitat Politècnica de Catalunya-BarcelonaTech Spain
7 - Centro de Investigación Biomédica en Red -CIBER-BBN Spain","It has been argued that Artificial Intelligence (AI) is experiencing a fast process of commodification. Such characterization is on the interest of big IT companies, but it correctly reflects the current industrialization of AI. This phenomenon means that AI systems and products are reaching the society at large and, therefore, that societal issues related to the use of AI and Machine Learning (ML) cannot be ignored any longer. Designing ML models from this human-centered perspective means incorporating human-relevant requirements such as safety, fairness, privacy, and interpretability, but also considering broad societal issues such as ethics and legislation. These are essential aspects to foster the acceptance of ML-based technologies, as well as to ensure compliance with an evolving legislation concerning the impact of digital technologies on ethically and privacy sensitive matters. The ESANN special session for which this tutorial acts as an introduction aims to showcase the state of the art on these increasingly relevant topics among ML theoreticians and practitioners. For this purpose, we welcomed both solid contributions and preliminary relevant results showing the potential, the limitations and the challenges of new ideas, as well as refinements, or hybridizations among the different fields of research, ML and related approaches in facing real-world problems involving societal issues.",Societal Issues in Machine Learning: When Learning from Data is Not Enough,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-6.pdf,2019,100.0,"Societal Issues in Machine Learning: When Learning from Data is Not Enough It has been argued that Artificial Intelligence (AI) is experiencing a fast process of commodification. Such characterization is on the interest of big IT companies, but it correctly reflects the current industrialization of AI. This phenomenon means that AI systems and products are reaching the society at large and, therefore, that societal issues related to the use of AI and Machine Learning (ML) cannot be ignored any longer. Designing ML models from this human-centered perspective means incorporating human-relevant requirements such as safety, fairness, privacy, and interpretability, but also considering broad societal issues such as ethics and legislation. These are essential aspects to foster the acceptance of ML-based technologies, as well as to ensure compliance with an evolving legislation concerning the impact of digital technologies on ethically and privacy sensitive matters. The ESANN special session for which this tutorial acts as an introduction aims to showcase the state of the art on these increasingly relevant topics among ML theoreticians and practitioners. For this purpose, we welcomed both solid contributions and preliminary relevant results showing the potential, the limitations and the challenges of new ideas, as well as refinements, or hybridizations among the different fields of research, ML and related approaches in facing real-world problems involving societal issues."
Deep Weisfeiler-Lehman Assignment Kernels via Multiple Kernel Learning,Nils Kriege,1 - Department of Computer Science TU Dortmund University Otto-Hahn-Str. 14 44227 Dortmund Germany,Kernels for structured data are commonly obtained by decomposing objects into their parts and adding up the similarities between all pairs of parts measured by a base kernel. Assignment kernels are based on an optimal bijection between the parts and have proven to be an effective alternative to the established convolution kernels. We explore how the base kernel can be learned as part of the classification problem. We build on the theory of valid assignment kernels derived from hierarchies defined on the parts. We show that the weights of this hierarchy can be optimized via multiple kernel learning. We apply this result to learn vertex similarities for the Weisfeiler-Lehman optimal assignment kernel for graph classification. We present first experimental results which demonstrate the feasibility and effectiveness of the approach.,Embeddings and Representation Learning for Structured Data,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-60.pdf,2019,60.0,Deep Weisfeiler-Lehman Assignment Kernels via Multiple Kernel Learning Kernels for structured data are commonly obtained by decomposing objects into their parts and adding up the similarities between all pairs of parts measured by a base kernel. Assignment kernels are based on an optimal bijection between the parts and have proven to be an effective alternative to the established convolution kernels. We explore how the base kernel can be learned as part of the classification problem. We build on the theory of valid assignment kernels derived from hierarchies defined on the parts. We show that the weights of this hierarchy can be optimized via multiple kernel learning. We apply this result to learn vertex similarities for the Weisfeiler-Lehman optimal assignment kernel for graph classification. We present first experimental results which demonstrate the feasibility and effectiveness of the approach.
Importance of user inputs while using incremental learning to personalize human activity recognition models,"Pekka Siirtola, Heli Koskimäki, Juha Röning",1 - Biomimetics and Intelligent Systems Group University of Oulu P.O. BOX 4500 FI-90014 Oulu Finland,"In this study, importance of user inputs is studied in the context of personalizing human activity recognition models using incremental learning. Inertial sensor data from three body positions are used, and the classification is based on Learn++ ensemble method. Three different approaches to update models are compared: non-supervised, semi-supervised and supervised. Non-supervised approach relies fully on predicted labels, supervised fully on user labeled data, and the proposed method for semisupervised learning, is a combination of these two. In fact, our experiments show that by relying on predicted labels with high confidence, and asking the user to label only uncertain observations (from 12% to 26% of the observations depending on the used base classifier), almost as low error rates can be achieved as by using supervised approach. In fact, the difference was less than 2%-units. Moreover, unlike non-supervised approach, semisupervised approach does not suffer from drastic concept drift, and thus, the error rate of the non-supervised approach is over 5%-units higher than using semi-supervised approach. 
 Problem statement and related work This study focuses on human activity recognition based on inertial sensor data collected using smartphone sensors. One of the main challenges of the field is that people are different: they are unique for instance in terms of physical characteristics, health state or gender. Due to this, it is shown that a model that provides accurate results for one person, does not necessarily work accurately with somebody else's data. For instance, user-independent models are not accurate if they are trained with healthy study subjects and tested with subjects who have difficulties to move  [1] . Personal recognition models provide better recognition rates, but the challenge is that they normally require personal training data, and therefore, a personal data gathering session  [2] . Our previous study  [3]  presented for the first time how incremental learning can be used to personalize activity recognition models without a separate data gathering session. The advantage of incremental learning is that models can continuously learn from streaming data, and therefore, adapt to the user's personal moving style. In addition, learning can be done without model retraining, instead, models are updated based on streaming data, and therefore, all the training data does not need to be kept stored. In the article, the idea was to base the recognition in the first place in a user-independent model, and use","Streaming data analysis, concept drift and analysis of dynamic data sets",https://www.esann.org/sites/default/files/proceedings/legacy/es2019-63.pdf,2019,100.0,"Importance of user inputs while using incremental learning to personalize human activity recognition models In this study, importance of user inputs is studied in the context of personalizing human activity recognition models using incremental learning. Inertial sensor data from three body positions are used, and the classification is based on Learn++ ensemble method. Three different approaches to update models are compared: non-supervised, semi-supervised and supervised. Non-supervised approach relies fully on predicted labels, supervised fully on user labeled data, and the proposed method for semisupervised learning, is a combination of these two. In fact, our experiments show that by relying on predicted labels with high confidence, and asking the user to label only uncertain observations (from 12% to 26% of the observations depending on the used base classifier), almost as low error rates can be achieved as by using supervised approach. In fact, the difference was less than 2%-units. Moreover, unlike non-supervised approach, semisupervised approach does not suffer from drastic concept drift, and thus, the error rate of the non-supervised approach is over 5%-units higher than using semi-supervised approach. 
 Problem statement and related work This study focuses on human activity recognition based on inertial sensor data collected using smartphone sensors. One of the main challenges of the field is that people are different: they are unique for instance in terms of physical characteristics, health state or gender. Due to this, it is shown that a model that provides accurate results for one person, does not necessarily work accurately with somebody else's data. For instance, user-independent models are not accurate if they are trained with healthy study subjects and tested with subjects who have difficulties to move  [1] . Personal recognition models provide better recognition rates, but the challenge is that they normally require personal training data, and therefore, a personal data gathering session  [2] . Our previous study  [3]  presented for the first time how incremental learning can be used to personalize activity recognition models without a separate data gathering session. The advantage of incremental learning is that models can continuously learn from streaming data, and therefore, adapt to the user's personal moving style. In addition, learning can be done without model retraining, instead, models are updated based on streaming data, and therefore, all the training data does not need to be kept stored. In the article, the idea was to base the recognition in the first place in a user-independent model, and use"
Short-term trajectory planning using reinforcement learning within a neuromorphic control architecture,"Florian Mirus, Benjamin Zorn, Jörg Conradt","1 - -BMW Group -Research New Technologies, Innovations Garching Germany
2 - Department of Electrical and Computer Engineering Technical University of Munich Munich Germany
5 - Department of Computational Science and Technology KTH Royal Institute of Technology Stockholm Sweden","In this paper, we present a first step towards neuromorphic vehicle control. We propose a modular and hierarchical system architecture entirely implemented in a spiking neuron substrate, which allows for the adjustment of individual components through either supervised or reinforcement learning as well as future deployment on dedicated neuromorphic hardware. In a sample instantiation, we investigate automated training of a neuromorphic trajectory selection module using reinforcement learning to demonstrate the general feasibility of our approach. We evaluate our system using the open-source race car simulator TORCS.",Dynamical systems and reinforcement learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-65.pdf,2019,100.0,"Short-term trajectory planning using reinforcement learning within a neuromorphic control architecture In this paper, we present a first step towards neuromorphic vehicle control. We propose a modular and hierarchical system architecture entirely implemented in a spiking neuron substrate, which allows for the adjustment of individual components through either supervised or reinforcement learning as well as future deployment on dedicated neuromorphic hardware. In a sample instantiation, we investigate automated training of a neuromorphic trajectory selection module using reinforcement learning to demonstrate the general feasibility of our approach. We evaluate our system using the open-source race car simulator TORCS."
Visualizing Image Classification in Fourier Domain,"Florian Franzen, Chunrong Yuan",1 - Autonomous Systems Lab TH Köln University of Applied Sciences Betzdorfer Str. 2 50679 Cologne Germany,"Image classification is successfully done with Convolutional Neural Networks (CNN). Alternatively it can be done in Fourier domain avoiding the convolution process. In this work, we develop several neural networks (NN) for classifying images in Fourier domain. In order to understand and explain the behaviour of the built NNs, we visualize neuron activities and analyze the underlying patterns relevant for the learning and classification process. We have carried out comparative study based on several datasets. By using images of objects with partial occlusion, we are able to find out the parts that are important for the classification of certain objects.",Image processing and transfer learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-66.pdf,2019,84.0,"Visualizing Image Classification in Fourier Domain Image classification is successfully done with Convolutional Neural Networks (CNN). Alternatively it can be done in Fourier domain avoiding the convolution process. In this work, we develop several neural networks (NN) for classifying images in Fourier domain. In order to understand and explain the behaviour of the built NNs, we visualize neuron activities and analyze the underlying patterns relevant for the learning and classification process. We have carried out comparative study based on several datasets. By using images of objects with partial occlusion, we are able to find out the parts that are important for the classification of certain objects."
Predicting vehicle behaviour using LSTMs and a vector power representation for spatial positions,"Florian Mirus, Peter Blouw, Terrence Stewart, Jörg Conradt","1 - -BMW Group -Research New Technologies, Innovations Garching Germany
2 - Department of Electrical and Computer Engineering Technical University of Munich Munich Germany
3 - Centre for Theoretical Neuroscience -University of Waterloo Waterloo ON Canada
5 - Department of Computational Science and Technology KTH Royal Institute of Technology Stockholm Sweden","Predicting future vehicle behaviour is an essential task to enable safe and situation-aware automated driving. In this paper, we propose to encapsulate spatial information of multiple objects in a semantic vector-representation. Assuming that future vehicle motion is influenced not only by past positions but also by the behaviour of other traffic participants, we use this representation as input for a Long Short-Term Memory (LSTM) network for sequence to sequence prediction of vehicle positions. We train and evaluate our system on real-world driving data collected mainly on highways in southern Germany and compare it to other models for reference.",Embeddings and Representation Learning for Structured Data,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-67.pdf,2019,100.0,"Predicting vehicle behaviour using LSTMs and a vector power representation for spatial positions Predicting future vehicle behaviour is an essential task to enable safe and situation-aware automated driving. In this paper, we propose to encapsulate spatial information of multiple objects in a semantic vector-representation. Assuming that future vehicle motion is influenced not only by past positions but also by the behaviour of other traffic participants, we use this representation as input for a Long Short-Term Memory (LSTM) network for sequence to sequence prediction of vehicle positions. We train and evaluate our system on real-world driving data collected mainly on highways in southern Germany and compare it to other models for reference."
Towards a device-free passive presence detection system with Bluetooth Low Energy beacons,"Maximilian Münch, Karsten Huffstadt, Frank-Michael Schleif","1 - University of Applied Sciences Würzburg Schweinfurt
2 - Department of Computer Science Würzburg Germany","In an era of smart information systems and smart buildings, detecting, tracking and identifying the presence of attendants inside of enclosed rooms have evolved to a key challenge in the research area of smart building systems. Therefore, several types of sensing systems were proposed over the past decade to tackle these challenge. Depending on the component's arrangement, a distinction is made between so-called devicebased active and device-free passive sensing systems. Here we focus on the device-free passive concept and introduce a strategy of using Bluetooth Low Energy beacons for device-free presence detection.",Classification and Bayesian learning,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-68.pdf,2019,100.0,"Towards a device-free passive presence detection system with Bluetooth Low Energy beacons In an era of smart information systems and smart buildings, detecting, tracking and identifying the presence of attendants inside of enclosed rooms have evolved to a key challenge in the research area of smart building systems. Therefore, several types of sensing systems were proposed over the past decade to tackle these challenge. Depending on the component's arrangement, a distinction is made between so-called devicebased active and device-free passive sensing systems. Here we focus on the device-free passive concept and introduce a strategy of using Bluetooth Low Energy beacons for device-free presence detection."
Learning Multimodal Fixed-Point Weights using Gradient Descent,"Lukas Enderich, Fabian Timm, Lars Rosenbaum, Wolfram Burgard, Robert Bosch, Gmbh -Automated Research",1 - University of Freiburg -Autonomous Intelligent Systems,"Due to their high computational complexity, deep neural networks are still limited to powerful processing units. To promote a reduced model complexity by dint of low-bit fixed-point quantization, we propose a gradient-based optimization strategy to generate a symmetric mixture of Gaussian modes (SGM) where each mode belongs to a particular quantization stage. We achieve 2-bit state-of-the-art performance and illustrate the model's ability for self-dependent weight adaptation during training.",Learning methods and optimization,https://www.esann.org/sites/default/files/proceedings/legacy/es2019-69.pdf,2019,66.12903225806453,"Learning Multimodal Fixed-Point Weights using Gradient Descent Due to their high computational complexity, deep neural networks are still limited to powerful processing units. To promote a reduced model complexity by dint of low-bit fixed-point quantization, we propose a gradient-based optimization strategy to generate a symmetric mixture of Gaussian modes (SGM) where each mode belongs to a particular quantization stage. We achieve 2-bit state-of-the-art performance and illustrate the model's ability for self-dependent weight adaptation during training."
